Freq_o	Amp_Cal_LHO
5	3.22535e+06
5.19368	3.40611e+06
5.39486	3.58887e+06
5.60384	3.77301e+06
5.82091	3.95792e+06
6.04638	4.14302e+06
6.2806	4.3277e+06
6.52388	4.51139e+06
6.77659	4.69353e+06
7.03909	4.8736e+06
7.31175	5.05108e+06
7.59498	5.22553e+06
7.88918	5.39651e+06
8.19477	5.56363e+06
8.51221	5.72655e+06
8.84193	5.88499e+06
9.18443	6.03866e+06
9.5402	6.18738e+06
9.90975	6.33095e+06
10.2936	6.46925e+06
10.6923	6.6022e+06
11.1065	6.72972e+06
11.5367	6.85181e+06
11.9836	6.96847e+06
12.4478	7.07973e+06
12.93	7.18567e+06
13.4309	7.28637e+06
13.9511	7.38192e+06
14.4915	7.47247e+06
15.0529	7.55813e+06
15.636	7.63907e+06
16.2416	7.71543e+06
16.8708	7.78739e+06
17.5243	7.8551e+06
18.2031	7.91875e+06
18.9082	7.9785e+06
19.6406	8.03454e+06
20.4014	8.08702e+06
21.1917	8.13612e+06
22.0126	8.18201e+06
22.8653	8.22485e+06
23.751	8.26479e+06
24.671	8.30198e+06
25.6266	8.33658e+06
26.6193	8.36872e+06
27.6504	8.39853e+06
28.7215	8.42614e+06
29.834	8.45167e+06
30.9897	8.47522e+06
32.1901	8.49692e+06
33.437	8.51685e+06
34.7322	8.53511e+06
36.0776	8.55178e+06
37.4751	8.56695e+06
38.9267	8.58068e+06
40.4346	8.59305e+06
42.0009	8.60411e+06
43.6278	8.61392e+06
45.3178	8.62253e+06
47.0732	8.62998e+06
48.8966	8.63632e+06
50.7907	8.64156e+06
52.7581	8.64575e+06
54.8018	8.6489e+06
56.9245	8.65103e+06
59.1296	8.65215e+06
61.42	8.65227e+06
63.7992	8.65139e+06
66.2705	8.6495e+06
68.8375	8.64661e+06
71.504	8.64269e+06
74.2738	8.63773e+06
77.1509	8.63171e+06
80.1394	8.62459e+06
83.2436	8.61635e+06
86.4682	8.60696e+06
89.8176	8.59635e+06
93.2968	8.5845e+06
96.9107	8.57135e+06
100.665	8.55683e+06
104.564	8.54089e+06
108.614	8.52347e+06
112.822	8.50449e+06
117.192	8.48387e+06
121.731	8.46153e+06
126.447	8.43739e+06
131.345	8.41136e+06
136.433	8.38334e+06
141.717	8.35324e+06
147.207	8.32096e+06
152.909	8.28639e+06
158.832	8.24944e+06
164.985	8.20998e+06
171.376	8.16793e+06
178.014	8.12316e+06
184.91	8.07559e+06
192.072	8.02509e+06
199.512	7.97157e+06
207.241	7.91494e+06
215.268	7.85511e+06
223.607	7.79199e+06
232.268	7.72552e+06
241.266	7.65562e+06
250.611	7.58225e+06
260.319	7.50536e+06
270.403	7.42494e+06
280.877	7.34097e+06
291.757	7.25347e+06
303.058	7.16245e+06
314.798	7.06797e+06
326.992	6.9701e+06
339.658	6.86891e+06
352.815	6.76451e+06
366.481	6.65703e+06
380.677	6.54661e+06
395.423	6.43342e+06
410.74	6.31764e+06
426.651	6.19947e+06
443.177	6.07912e+06
460.344	5.95682e+06
478.176	5.8328e+06
496.699	5.70731e+06
515.939	5.58061e+06
535.924	5.45294e+06
556.684	5.32458e+06
578.247	5.19577e+06
600.646	5.06677e+06
623.913	4.93784e+06
648.081	4.80921e+06
673.185	4.68112e+06
699.261	4.5538e+06
726.348	4.42746e+06
754.484	4.3023e+06
783.709	4.17851e+06
814.067	4.05627e+06
845.601	3.93572e+06
878.356	3.81703e+06
912.38	3.7003e+06
947.721	3.58567e+06
984.432	3.47323e+06
1022.57	3.36307e+06
1062.18	3.25526e+06
1103.32	3.14987e+06
1146.06	3.04694e+06
1190.45	2.9465e+06
1236.56	2.84859e+06
1284.46	2.75322e+06
1334.22	2.66041e+06
1385.9	2.57014e+06
1439.59	2.48241e+06
1495.35	2.39721e+06
1553.27	2.31451e+06
1613.44	2.23429e+06
1675.94	2.15652e+06
1740.86	2.08116e+06
1808.29	2.00817e+06
1878.34	1.93751e+06
1951.1	1.86914e+06
2026.67	1.803e+06
2105.18	1.73906e+06
2186.72	1.67725e+06
2271.43	1.61753e+06
2359.41	1.55985e+06
2450.81	1.50415e+06
2545.74	1.45039e+06
2644.35	1.3985e+06
2746.79	1.34844e+06
2853.19	1.30015e+06
2963.71	1.25359e+06
3078.51	1.2087e+06
3197.76	1.16543e+06
3321.63	1.12373e+06
3450.29	1.08356e+06
3583.94	1.04486e+06
3722.77	1.0076e+06
3866.97	971725
4016.76	937190
4172.36	903955
4333.98	871977
4501.86	841217
4676.24	811635
4857.38	783193
5045.54	755855
5240.98	729585
5443.99	704349
5654.87	680114
5873.92	656849
6101.45	634524
6337.8	613108
6583.3	592575
6838.31	572898
7103.19	554051
7378.34	536010
7664.15	518753
7961.03	502258
8269.4	486504
8589.73	471474
8922.46	457150
9268.08	443516
9627.09	430557
10000	418262
