Freq_Cal	amp_cal_LLO
5	3.641e+06
5.19368	3.87193e+06
5.39486	4.10867e+06
5.60384	4.35058e+06
5.82091	4.59701e+06
6.04638	4.84719e+06
6.2806	5.10041e+06
6.52388	5.35589e+06
6.77659	5.61282e+06
7.03909	5.87042e+06
7.31175	6.12789e+06
7.59498	6.38445e+06
7.88918	6.63932e+06
8.19477	6.89177e+06
8.51221	7.14109e+06
8.84193	7.38661e+06
9.18443	7.62773e+06
9.5402	7.86385e+06
9.90975	8.09448e+06
10.2936	8.31915e+06
10.6923	8.53745e+06
11.1065	8.74906e+06
11.5367	8.95367e+06
11.9836	9.15106e+06
12.4478	9.34106e+06
12.93	9.52355e+06
13.4309	9.69845e+06
13.9511	9.86575e+06
14.4915	1.00254e+07
15.0529	1.01776e+07
15.636	1.03223e+07
16.2416	1.04597e+07
16.8708	1.059e+07
17.5243	1.07132e+07
18.2031	1.08296e+07
18.9082	1.09393e+07
19.6406	1.10427e+07
20.4014	1.11399e+07
21.1917	1.12311e+07
22.0126	1.13167e+07
22.8653	1.13967e+07
23.751	1.14715e+07
24.671	1.15412e+07
25.6266	1.16061e+07
26.6193	1.16665e+07
27.6504	1.17225e+07
28.7215	1.17743e+07
29.834	1.18221e+07
30.9897	1.18661e+07
32.1901	1.19065e+07
33.437	1.19435e+07
34.7322	1.19771e+07
36.0776	1.20076e+07
37.4751	1.2035e+07
38.9267	1.20596e+07
40.4346	1.20813e+07
42.0009	1.21003e+07
43.6278	1.21168e+07
45.3178	1.21306e+07
47.0732	1.21421e+07
48.8966	1.2151e+07
50.7907	1.21577e+07
52.7581	1.2162e+07
54.8018	1.21639e+07
56.9245	1.21636e+07
59.1296	1.2161e+07
61.42	1.21561e+07
63.7992	1.21488e+07
66.2705	1.21392e+07
68.8375	1.21272e+07
71.504	1.21128e+07
74.2738	1.2096e+07
77.1509	1.20765e+07
80.1394	1.20545e+07
83.2436	1.20297e+07
86.4682	1.20022e+07
89.8176	1.19718e+07
93.2968	1.19383e+07
96.9107	1.19018e+07
100.665	1.18621e+07
104.564	1.1819e+07
108.614	1.17724e+07
112.822	1.17222e+07
117.192	1.16682e+07
121.731	1.16104e+07
126.447	1.15485e+07
131.345	1.14825e+07
136.433	1.14122e+07
141.717	1.13374e+07
147.207	1.12581e+07
152.909	1.11741e+07
158.832	1.10853e+07
164.985	1.09916e+07
171.376	1.08929e+07
178.014	1.07892e+07
184.91	1.06804e+07
192.072	1.05665e+07
199.512	1.04475e+07
207.241	1.03234e+07
215.268	1.01942e+07
223.607	1.006e+07
232.268	9.92095e+06
241.266	9.77712e+06
250.611	9.62868e+06
260.319	9.47581e+06
270.403	9.31873e+06
280.877	9.15767e+06
291.757	8.99289e+06
303.058	8.82467e+06
314.798	8.65334e+06
326.992	8.4792e+06
339.658	8.3026e+06
352.815	8.1239e+06
366.481	7.94345e+06
380.677	7.76162e+06
395.423	7.57879e+06
410.74	7.39531e+06
426.651	7.21156e+06
443.177	7.0279e+06
460.344	6.84467e+06
478.176	6.6622e+06
496.699	6.48082e+06
515.939	6.30084e+06
535.924	6.12254e+06
556.684	5.94618e+06
578.247	5.77202e+06
600.646	5.60028e+06
623.913	5.43117e+06
648.081	5.26487e+06
673.185	5.10154e+06
699.261	4.94134e+06
726.348	4.78437e+06
754.484	4.63075e+06
783.709	4.48057e+06
814.067	4.33389e+06
845.601	4.19076e+06
878.356	4.05122e+06
912.38	3.9153e+06
947.721	3.783e+06
984.432	3.65433e+06
1022.57	3.52927e+06
1062.18	3.4078e+06
1103.32	3.2899e+06
1146.06	3.17551e+06
1190.45	3.0646e+06
1236.56	2.95712e+06
1284.46	2.853e+06
1334.22	2.7522e+06
1385.9	2.65464e+06
1439.59	2.56026e+06
1495.35	2.46898e+06
1553.27	2.38074e+06
1613.44	2.29547e+06
1675.94	2.21308e+06
1740.86	2.13351e+06
1808.29	2.05667e+06
1878.34	1.9825e+06
1951.1	1.91092e+06
2026.67	1.84185e+06
2105.18	1.77521e+06
2186.72	1.71095e+06
2271.43	1.64898e+06
2359.41	1.58923e+06
2450.81	1.53163e+06
2545.74	1.47612e+06
2644.35	1.42263e+06
2746.79	1.3711e+06
2853.19	1.32145e+06
2963.71	1.27363e+06
3078.51	1.22759e+06
3197.76	1.18325e+06
3321.63	1.14056e+06
3450.29	1.09947e+06
3583.94	1.05992e+06
3722.77	1.02187e+06
3866.97	985255
4016.76	950034
4172.36	916159
4333.98	883584
4501.86	852265
4676.24	822160
4857.38	793229
5045.54	765431
5240.98	738730
5443.99	713089
5654.87	688473
5873.92	664849
6101.45	642185
6337.8	620450
6583.3	599616
6838.31	579653
7103.19	560537
7378.34	542241
7664.15	524743
7961.03	508019
8269.4	492049
8589.73	476814
8922.46	462296
9268.08	448477
9627.09	435344
10000	422882
